Condition_Labels,Group_1_Input_ID,Group_2_Input_ID,Group_3_Input_ID,Group_4_Input_ID,Group_5_Input_ID
Patient ID(s),Patient_ID_1,Patient_ID_2,Patient_ID_3,Patient_ID_4,Patient_ID_5
Patient Gender,Patient_Gender_1,Patient_Gender_2,Patient_Gender_3,Patient_Gender_4,Patient_Gender_5
Patient Date of Birth,Patient_Date_of_Birth_1,Patient_Date_of_Birth_2,Patient_Date_of_Birth_3,Patient_Date_of_Birth_4,Patient_Date_of_Birth_5
Patient Race,Patient_Race_1,Patient_Race_2,Patient_Race_3,Patient_Race_4,Patient_Race_5
Patient Marital Status,Patient_Marital_Status_1,Patient_Marital_Status_2,Patient_Marital_Status_3,Patient_Marital_Status_4,Patient_Marital_Status_5
Patient Language,Patient_Language_1,Patient_Language_2,Patient_Language_3,Patient_Language_4,Patient_Language_5
Percentage Below Poverty,Percentage_Below_Poverty_1,Percentage_Below_Poverty_2,Percentage_Below_Poverty_3,Percentage_Below_Poverty_4,Percentage_Below_Poverty_5
Primary Diagnosis Code,Primary_Diagnosis_Code_1,Primary_Diagnosis_Code_2,Primary_Diagnosis_Code_3,Primary_Diagnosis_Code_4,Primary_Diagnosis_Code_5
Clinician Admission ID,Clinician_Admission_ID_1,Clinician_Admission_ID_2,Clinician_Admission_ID_3,Clinician_Admission_ID_4,Clinician_Admission_ID_5
Number of Clinician Admissions,Number_of_Clinician_Admissions_1,Number_of_Clinician_Admissions_2,Number_of_Clinician_Admissions_3,Number_of_Clinician_Admissions_4,Number_of_Clinician_Admissions_5
Lab Admission ID,Lab_Admission_ID_1,Lab_Admission_ID_2,Lab_Admission_ID_3,Lab_Admission_ID_4,Lab_Admission_ID_5
Number of Lab Admission ID,Number_of_Lab_Admission_ID_1,Number_of_Lab_Admission_ID_2,Number_of_Lab_Admission_ID_3,Number_of_Lab_Admission_ID_4,Number_of_Lab_Admission_ID_5
Number of Lab Tests,Number_of_Lab_Tests_1,Number_of_Lab_Tests_2,Number_of_Lab_Tests_3,Number_of_Lab_Tests_4,Number_of_Lab_Tests_5
