All_Response_Var,Discrete_Response_Var,Cont_Response_Var,Dataset_ID,Lab_Test_Name
Number of Patients,Number of Patients,Percentage Below Poverty,1,CBC: HEMATOCRIT
Number of Clinican Admissions,Number of Clinican Admissions,CBC: HEMATOCRIT,2,METABOLIC: ANION GAP
Number of Lab Admissions,Number of Lab Admissions,METABOLIC: ANION GAP,4,CBC: LYMPHOCYTES
Number of Lab Tests,Number of Lab Tests,CBC: LYMPHOCYTES,4,CBC: HEMOGLOBIN
Number of Diagnoses,Number of Diagnoses,CBC: HEMOGLOBIN,3,METABOLIC: SODIUM
Percentage Below Poverty,NA,METABOLIC: SODIUM,1,METABOLIC: ALBUMIN
CBC: HEMATOCRIT,NA,METABOLIC: ALBUMIN,4,METABOLIC: BUN
METABOLIC: ANION GAP,NA,METABOLIC: BUN,4,CBC: NEUTROPHILS
CBC: LYMPHOCYTES,NA,CBC: NEUTROPHILS,4,METABOLIC: CALCIUM
CBC: HEMOGLOBIN,NA,METABOLIC: CALCIUM,4,METABOLIC: GLUCOSE
METABOLIC: SODIUM,NA,METABOLIC: GLUCOSE,4,URINALYSIS: PH
METABOLIC: ALBUMIN,NA,URINALYSIS: PH,4,METABOLIC: BILI
METABOLIC: BUN,NA,METABOLIC: BILI,4,METABOLIC: POTASSIUM
CBC: NEUTROPHILS,NA,METABOLIC: POTASSIUM,4,URINALYSIS: RED BLOOD CELLS
METABOLIC: CALCIUM,NA,URINALYSIS: RED BLOOD CELLS,4,METABOLIC: CARBON DIOXIDE
METABOLIC: GLUCOSE,NA,METABOLIC: CARBON DIOXIDE,4,METABOLIC: CREATININE
URINALYSIS: PH,NA,METABOLIC: CREATININE,4,URINALYSIS: SPECIFIC GRAVITY
METABOLIC: BILI,NA,URINALYSIS: SPECIFIC GRAVITY,4,CBC: MEAN CORPUSCULAR VOLUME
METABOLIC: POTASSIUM,NA,CBC: MEAN CORPUSCULAR VOLUME,4,METABOLIC: CHLORIDE
URINALYSIS: RED BLOOD CELLS,NA,METABOLIC: CHLORIDE,4,METABOLIC: ALT/SGPT
METABOLIC: CARBON DIOXIDE,NA,METABOLIC: ALT/SGPT,4,METABOLIC: AST/SGOT
METABOLIC: CREATININE,NA,METABOLIC: AST/SGOT,4,METABOLIC: ALK PHOS
URINALYSIS: SPECIFIC GRAVITY,NA,METABOLIC: ALK PHOS,4,CBC: EOSINOPHILS
CBC: MEAN CORPUSCULAR VOLUME,NA,CBC: EOSINOPHILS,4,CBC: ABSOLUTE NEUTROPHILS
METABOLIC: CHLORIDE,NA,CBC: ABSOLUTE NEUTROPHILS,4,CBC: MCH
METABOLIC: ALT/SGPT,NA,CBC: MCH,4,URINALYSIS: WHITE BLOOD CELLS
METABOLIC: AST/SGOT,NA,URINALYSIS: WHITE BLOOD CELLS,4,CBC: ABSOLUTE LYMPHOCYTES
METABOLIC: ALK PHOS,NA,CBC: ABSOLUTE LYMPHOCYTES,4,CBC: PLATELET COUNT
CBC: EOSINOPHILS,NA,CBC: PLATELET COUNT,4,CBC: RED BLOOD CELL COUNT
CBC: ABSOLUTE NEUTROPHILS,NA,CBC: RED BLOOD CELL COUNT,4,CBC: WHITE BLOOD CELL COUNT
CBC: MCH,NA,CBC: WHITE BLOOD CELL COUNT,4,CBC: RDW
URINALYSIS: WHITE BLOOD CELLS,NA,CBC: RDW,4,CBC: MCHC
CBC: ABSOLUTE LYMPHOCYTES,NA,CBC: MCHC,4,CBC: MONOCYTES
CBC: PLATELET COUNT,NA,CBC: MONOCYTES,4,METABOLIC: TOTAL PROTEIN
CBC: RED BLOOD CELL COUNT,NA,METABOLIC: TOTAL PROTEIN,4,CBC: BASOPHILS
CBC: WHITE BLOOD CELL COUNT,NA,CBC: BASOPHILS,4,NA
CBC: RDW,NA,NA,4,NA
CBC: MCHC,NA,NA,4,NA
CBC: MONOCYTES,NA,NA,4,NA
METABOLIC: TOTAL PROTEIN,NA,NA,4,NA
CBC: BASOPHILS,NA,NA,4,NA
